year,month,DT_NOTIFICACAO,SG_UF_NOT,ID_MUNICIP,DT_CARGA,count
2020,4,2020-04-07,MS,CORUMBA,2024-08-04,1
2020,4,2020-04-08,PE,OURICURI,2024-08-04,1
2020,4,2020-04-01,PB,PATOS,2024-08-04,1
2020,4,2020-04-13,SP,MARILIA,2024-08-04,1
2020,4,2020-04-13,SP,JACAREI,2024-08-04,10
2020,4,2020-04-09,CE,PARACURU,2024-08-04,1
2020,4,2020-04-15,SP,ARACATUBA,2024-08-04,3
2020,4,2020-04-16,RS,SANTA MARIA,2024-08-04,4
2020,4,2020-04-15,PR,CASTRO,2024-08-04,1
2020,4,2020-04-15,RS,LAJEADO,2024-08-04,3
2020,4,2020-04-15,PR,SAO JORGE D'OESTE,2024-08-04,1
2020,1,2020-01-10,AM,MANAUS,2024-08-04,3
2020,1,2020-01-09,ES,VITORIA,2024-08-04,1
2020,1,2020-01-10,PA,ALTAMIRA,2024-08-04,2
2020,1,2020-01-02,RS,PASSO FUNDO,2024-08-04,1
2020,1,2020-01-17,SP,SAO BERNARDO DO CAMPO,2024-08-04,1
2020,1,2020-01-20,MG,RESPLENDOR,2024-08-04,1
2020,2,2020-02-11,PR,CASCAVEL,2024-08-04,1
2020,3,2020-03-02,SP,BATATAIS,2024-08-04,1
2020,3,2020-03-03,PR,FOZ DO IGUACU,2024-08-04,3
2020,3,2020-03-05,RS,ANTONIO PRADO,2024-08-04,1
2020,3,2020-03-02,MT,CUIABA,2024-08-04,1
2020,3,2020-03-08,GO,INHUMAS,2024-08-04,1
2020,2,2020-02-22,SP,CAMPINAS,2024-08-04,1
2020,3,2020-03-11,AC,RIO BRANCO,2024-08-04,2
2020,3,2020-03-15,RS,CARLOS BARBOSA,2024-08-04,1
2020,3,2020-03-17,SP,SAO BERNARDO DO CAMPO,2024-08-04,4
2020,3,2020-03-17,PR,IVAIPORA,2024-08-04,2
2020,3,2020-03-17,RS,VENANCIO AIRES,2024-08-04,1
2020,3,2020-03-17,SP,SUZANO,2024-08-04,2
2020,3,2020-03-20,PA,MARITUBA,2024-08-04,1
2020,3,2020-03-23,SP,ITUVERAVA,2024-08-04,2
2020,3,2020-03-23,PR,TERRA BOA,2024-08-04,1
2020,3,2020-03-24,RS,RIO PARDO,2024-08-04,1
2020,3,2020-03-25,SC,RIO NEGRINHO,2024-08-04,3
2020,3,2020-03-26,SP,TATUI,2024-08-04,2
2020,3,2020-03-26,SC,RIO DO SUL,2024-08-04,1
2020,3,2020-03-24,SP,RIO CLARO,2024-08-04,2
2020,3,2020-03-26,MG,ITAMONTE,2024-08-04,2
2020,3,2020-03-26,MG,ARAGUARI,2024-08-04,2
2020,3,2020-03-29,SP,CATANDUVA,2024-08-04,1
2020,3,2020-03-28,RS,TENENTE PORTELA,2024-08-04,1
2020,3,2020-03-17,MG,SANTA BARBARA,2024-08-04,1
2020,3,2020-03-30,SP,BEBEDOURO,2024-08-04,4
2020,3,2020-03-29,MG,ARAXA,2024-08-04,1
2020,3,2020-03-31,MG,COROMANDEL,2024-08-04,1
2020,3,2020-03-26,RS,DOIS IRMAOS,2024-08-04,1
2020,3,2020-03-27,RS,PANAMBI,2024-08-04,1
2020,3,2020-03-29,MG,ABAETE,2024-08-04,1
2020,4,2020-04-04,SP,SUMARE,2024-08-04,4
2020,4,2020-04-16,MS,CAMPO GRANDE,2024-08-04,19
2020,4,2020-04-06,MG,BELO HORIZONTE,2024-08-04,63
2020,4,2020-04-06,SP,CARAPICUIBA,2024-08-04,6
2020,4,2020-04-04,SP,SANTOS,2024-08-04,18
2020,4,2020-04-06,MG,CATAGUASES,2024-08-04,3
2020,4,2020-04-07,SP,CESARIO LANGE,2024-08-04,2
2020,4,2020-04-11,SP,DIADEMA,2024-08-04,3
2020,4,2020-04-13,PR,CAMPO LARGO,2024-08-04,15
2020,4,2020-04-10,PR,PATO BRANCO,2024-08-04,3
2020,3,2020-03-21,SP,GUARUJA,2024-08-04,1
2020,3,2020-03-18,PR,ARAUCARIA,2024-08-04,2
2020,4,2020-04-13,MG,VARZELANDIA,2024-08-04,1
2020,4,2020-04-14,SC,TUBARAO,2024-08-04,2
2020,4,2020-04-15,SP,MOGI GUACU,2024-08-04,5
2020,4,2020-04-04,MG,CONTAGEM,2024-08-04,3
2020,4,2020-04-16,CE,FORTALEZA,2024-08-04,131
2020,4,2020-04-15,CE,TIANGUA,2024-08-04,2
2020,1,2020-01-06,BA,SALVADOR,2024-08-04,2
2020,1,2020-01-10,SP,PEDERNEIRAS,2024-08-04,1
2020,1,2020-01-15,AC,RIO BRANCO,2024-08-04,1
2020,2,2020-02-10,SP,PRESIDENTE PRUDENTE,2024-08-04,1
2020,2,2020-02-17,MA,SAO LUIS,2024-08-04,10
2020,2,2020-02-24,MG,BELO HORIZONTE,2024-08-04,13
2020,2,2020-02-26,SP,SANTO ANDRE,2024-08-04,2
2020,2,2020-02-29,SP,FERNANDOPOLIS,2024-08-04,1
2020,3,2020-03-03,AM,MANAUS,2024-08-04,4
